rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage
215,MHL,Marshall Islands,Oceania,41996,41569,43413,49410,53416,54224,46047,31988,23969,181,233,1.03%,0.00%
216,LIE,Liechtenstein,Europe,39584,39327,38756,37355,35926,33026,28765,25003,21089,160,247,0.65%,0.00%
217,MCO,Monaco,Europe,36297,36469,36922,36760,33178,32465,30329,27076,24270,2.02,18149,-0.47%,0.00%
218,SMR,San Marino,Europe,33642,33660,34007,33570,31608,26823,23132,21346,18169,61,561,-0.05%,0.00%
219,GIB,Gibraltar,Europe,32688,32649,32709,32520,31262,27741,27317,28734,26685,6.8,4807,0.12%,0.00%
220,MAF,Saint Martin,North America,32077,31791,32552,35020,36458,29610,28127,7776,5802,53,642,0.90%,0.00%
221,VGB,British Virgin Islands,North America,31538,31305,30910,29366,27556,20104,15617,11109,9581,151,210,0.74%,0.00%
222,PLW,Palau,Oceania,18058,18055,17972,17794,18540,19726,15293,12252,11366,459,39,0.02%,0.00%
223,COK,Cook Islands,Oceania,17044,17011,17029,17695,17212,15897,17123,17651,20470,240,71,0.19%,0.00%
224,AIA,Anguilla,North America,15899,15857,15585,14525,13172,11047,8316,6560,6283,91,175,0.26%,0.00%
225,NRU,Nauru,Oceania,12780,12668,12315,11185,10241,10377,9598,7635,6663,21,639,0.88%,0.00%
226,WLF,Wallis and Futuna,Oceania,11502,11572,11655,12182,13142,14723,13454,11315,9377,274,42,-0.60%,0.00%
227,TUV,Tuvalu,Oceania,11396,11312,11069,10877,10550,9638,9182,7731,5814,26,380,0.74%,0.00%
228,BLM,Saint Barthelemy,North America,10994,10967,10681,9643,8988,7082,5168,2983,2417,21,440,0.25%,0.00%
229,SPM,Saint Pierre and Miquelon,North America,5840,5862,5906,5978,6052,6274,6324,6106,5537,242,24,-0.38%,0.00%
230,MSR,Montserrat,North America,4386,4390,4500,5059,4938,5138,10805,11452,11402,102,43,-0.09%,0.00%
231,FLK,Falkland Islands,South America,3791,3780,3747,3408,3187,3080,2332,2240,2274,12173,0,0.29%,0.00%
232,NIU,Niue,Oceania,1935,1934,1942,1847,1812,2074,2533,3637,5185,261,7,0.05%,0.00%
233,TKL,Tokelau,Oceania,1893,1871,1827,1454,1367,1666,1669,1647,1714,12,189,1.18%,0.00%
234,VAT,Vatican City,Europe,518,510,520,564,596,651,700,733,752,0.44,1177,1.57%,0.00%
